Rk,Team,R64,R32,S16,E8,F4,F2,Champions
1,North Carolina St.,1,1,1,1,1,0,0
2,Alabama,1,1,1,1,1,0,0
3,Connecticut,1,1,1,1,1,1,1
4,Clemson,1,1,1,1,0,0,0
5,Purdue,1,1,1,1,1,1,0
6,Illinois,1,1,1,1,0,0,0
7,Duke,1,1,1,1,0,0,0
8,San Diego St.,1,1,1,0,0,0,0
9,Yale,1,1,0,0,0,0,0
10,Oakland,1,1,0,0,0,0,0
11,Duquesne,1,1,0,0,0,0,0
12,James Madison,1,1,0,0,0,0,0
13,Grand Canyon,1,1,0,0,0,0,0
14,Tennessee,1,1,1,1,0,0,0
15,Colorado,1,1,0,0,0,0,0
16,Utah St.,1,1,0,0,0,0,0
17,Texas A&M,1,1,0,0,0,0,0
18,Dayton,1,1,0,0,0,0,0
19,Northwestern,1,1,0,0,0,0,0
20,Oregon,1,1,0,0,0,0,0
21,Gonzaga,1,1,1,0,0,0,0
22,Washington St.,1,1,0,0,0,0,0
23,Michigan St.,1,1,0,0,0,0,0
24,Grambling St.,1,0,0,0,0,0,0
25,Wagner,1,0,0,0,0,0,0
26,Stetson,1,0,0,0,0,0,0
27,Longwood,1,0,0,0,0,0,0
28,Marquette,1,1,1,0,0,0,0
29,Texas,1,1,0,0,0,0,0
30,Saint Peter's,1,0,0,0,0,0,0
31,Long Beach St.,1,0,0,0,0,0,0
32,South Dakota St.,1,0,0,0,0,0,0
33,Colgate,1,0,0,0,0,0,0
34,Creighton,1,1,1,0,0,0,0
35,Akron,1,0,0,0,0,0,0
36,Western Kentucky,1,0,0,0,0,0,0
37,Morehead St.,1,0,0,0,0,0,0
38,Vermont,1,0,0,0,0,0,0
39,College of Charleston,1,0,0,0,0,0,0
40,UAB,1,0,0,0,0,0,0
41,McNeese St.,1,0,0,0,0,0,0
42,Kansas,1,1,0,0,0,0,0
43,Samford,1,0,0,0,0,0,0
44,North Carolina,1,1,1,0,0,0,0
45,Colorado St.,1,0,0,0,0,0,0
46,Florida Atlantic,1,0,0,0,0,0,0
47,Iowa St.,1,1,1,0,0,0,0
48,Drake,1,0,0,0,0,0,0
49,Mississippi St.,1,0,0,0,0,0,0
50,Baylor,1,1,0,0,0,0,0
51,Arizona,1,1,1,0,0,0,0
52,Nebraska,1,0,0,0,0,0,0
53,TCU,1,0,0,0,0,0,0
54,South Carolina,1,0,0,0,0,0,0
55,Nevada,1,0,0,0,0,0,0
56,New Mexico,1,0,0,0,0,0,0
57,Florida,1,0,0,0,0,0,0
58,Texas Tech,1,0,0,0,0,0,0
59,Wisconsin,1,0,0,0,0,0,0
60,BYU,1,0,0,0,0,0,0
61,Saint Mary's,1,0,0,0,0,0,0
62,Kentucky,1,0,0,0,0,0,0
63,Houston,1,1,1,0,0,0,0
64,Auburn,1,0,0,0,0,0,0